subject		activval		activdesc		tbodyaccmeanx		tbodyaccmeany		tbodyaccmeanz		tbodyaccstdx		tbodyaccstdy		tbodyaccstdz
 5		2		WALKINGUPSTAIRS  		0.2684595		-0.032526976		-0.10747145		-0.045723778		 0.185022459		-0.30893898
 5		3		WALKINGDOWNSTAIRS		0.2935439		-0.008501075		-0.10031993		 0.275046110		 0.090763076		-0.32589144
 5		4		SITTING          		0.2736941		-0.009900835		-0.10854030		-0.980945022		-0.904335121		-0.92609474
 5		5		STANDING         		0.2825444		-0.007004186		-0.10217110		-0.968591816		-0.869439913		-0.86932732
 5		6		LAYING           		0.2783343		-0.018304212		-0.10793760		-0.965934510		-0.969295613		-0.96856252
 6		1		WALKING          		0.2836589		-0.016895419		-0.11030317		-0.296538717		 0.164213885		-0.50432421
 6		2		WALKINGUPSTAIRS  		0.2682294		-0.027242539		-0.12208244		-0.050135019		 0.189276117		-0.35351951
 6		3		WALKINGDOWNSTAIRS		0.2770453		-0.019536840		-0.10720936		 0.383681640		 0.360164959		-0.32020423
 6		4		SITTING          		0.2767785		-0.014591162		-0.11012773		-0.980164934		-0.923682131		-0.92579710
 6		5		STANDING         		0.2803462		-0.018123633		-0.11217283		-0.981758160		-0.921493192		-0.92569237
 6		6		LAYING           		0.2486565		-0.010252917		-0.13311957		-0.934049422		-0.924644826		-0.92521610
 7		1		WALKING          		0.2755930		-0.018653665		-0.11091223		-0.327243241		-0.077261856		 0.15963128
 7		2		WALKINGUPSTAIRS  		0.2487069		-0.027563901		-0.14376969		-0.294872974		-0.326160023		-0.14566503
 7		3		WALKINGDOWNSTAIRS		0.2803071		-0.016633237		-0.09693831		 0.066081560		-0.138179073		-0.06364024
 7		4		SITTING          		0.2846746		-0.014610976		-0.12246460		-0.972668375		-0.909454699		-0.85653294
 7		5		STANDING         		0.2827235		-0.014574034		-0.09977783		-0.979307570		-0.923400922		-0.91706417
 7		6		LAYING           		0.2501767		-0.020441152		-0.10136104		-0.936513610		-0.926262669		-0.95297837
 8		1		WALKING          		0.2746863		-0.018662887		-0.10725209		-0.173605736		 0.380782053		-0.14208853
 8		2		WALKINGUPSTAIRS  		0.2588802		-0.028241514		-0.11512212		-0.171712175		 0.348768733		 0.12118728
 8		3		WALKINGDOWNSTAIRS		0.2834841		-0.021105867		-0.10759814		 0.024139347		 0.343826273		 0.13371704
 8		4		SITTING          		0.2674915		-0.006725506		-0.10446105		-0.979026152		-0.927331997		-0.93955303
 8		5		STANDING         		0.2796210		-0.014811307		-0.10611500		-0.988815418		-0.938479429		-0.92606526
 8		6		LAYING           		0.2612543		-0.021228173		-0.10224537		-0.943041215		-0.934891160		-0.93249145
 9		1		WALKING          		0.2785028		-0.018089197		-0.11082051		-0.238353563		-0.201696961		-0.05796365
 9		2		WALKINGUPSTAIRS  		0.2624365		-0.019510110		-0.12521900		-0.361444378		-0.302206204		-0.25343408
 9		3		WALKINGDOWNSTAIRS		0.2959234		-0.020399427		-0.09102788		 0.213392271		-0.208310706		-0.00771530
 9		4		SITTING          		0.2483267		-0.027016777		-0.07537847		-0.957227791		-0.875141405		-0.83200187
 9		5		STANDING         		0.2823101		-0.020045495		-0.09527475		-0.975741252		-0.938635759		-0.91929581
 9		6		LAYING           		0.2591955		-0.020526822		-0.10754972		-0.942333090		-0.916292776		-0.94070729
10		1		WALKING          		0.2785741		-0.017022351		-0.10905751		-0.178709734		-0.022743165		-0.39564507
10		2		WALKINGUPSTAIRS  		0.2671219		-0.014385492		-0.11818042		-0.161591924		-0.005552877		-0.07387449
10		3		WALKINGDOWNSTAIRS		0.2904016		-0.020005077		-0.11084860		 0.295733548		 0.004079154		-0.18355756
10		4		SITTING          		0.2706121		-0.015042682		-0.10425324		-0.982901826		-0.917979530		-0.96782698
10		5		STANDING         		0.2766503		-0.015541860		-0.10796408		-0.978403482		-0.919561843		-0.94127144
10		6		LAYING           		0.2802306		-0.024294484		-0.11716864		-0.968283685		-0.946454302		-0.95947149
11		1		WALKING          		0.2718219		-0.016647583		-0.10609630		-0.422842072		-0.052212075		-0.53062631
11		2		WALKINGUPSTAIRS  		0.2637759		-0.030315782		-0.10679722		-0.238802959		-0.103167502		-0.20336940
11		3		WALKINGDOWNSTAIRS		0.2916056		-0.017809772		-0.11107015		 0.142456557		 0.070812273		-0.32402694
11		4		SITTING          		0.2765902		-0.014919562		-0.11284022		-0.982796562		-0.921402118		-0.96837018
11		5		STANDING         		0.2777156		-0.017199089		-0.10868663		-0.994978879		-0.964173332		-0.98638271
11		6		LAYING           		0.2805930		-0.017659805		-0.10878658		-0.984777330		-0.972196874		-0.97131118
12		1		WALKING          		0.2771287		-0.015560928		-0.10316111		-0.128898533		-0.122783290		-0.41060606
12		2		WALKINGUPSTAIRS  		0.2729703		-0.026357490		-0.10733973		-0.290149192		-0.103818260		-0.43669743
12		3		WALKINGDOWNSTAIRS		0.2815211		-0.018084267		-0.10955593		 0.042408492		 0.110835344		-0.42501741
12		4		SITTING          		0.2750072		-0.015789299		-0.10630723		-0.982568782		-0.928581240		-0.93966189
12		5		STANDING         		0.2774058		-0.016900254		-0.10552700		-0.981243992		-0.923140254		-0.92068480
12		6		LAYING           		0.2601134		-0.017520392		-0.10816013		-0.955318680		-0.949072009		-0.94833384
13		1		WALKING          		0.2758831		-0.018566065		-0.11143146		-0.346980394		 0.141866689		-0.22050354
13		2		WALKINGUPSTAIRS  		0.2582039		-0.027739225		-0.12576727		-0.296284597		 0.104470774		-0.21721057
13		3		WALKINGDOWNSTAIRS		0.2949076		-0.014372384		-0.10199394		-0.068156363		-0.032125247		-0.15833315
13		4		SITTING          		0.2743285		-0.005877329		-0.09724651		-0.989546275		-0.938967742		-0.93864122
13		5		STANDING         		0.2777584		-0.016789199		-0.11212414		-0.991020759		-0.949422439		-0.96753803
13		6		LAYING           		0.2767164		-0.020440454		-0.10433186		-0.968891989		-0.950947950		-0.95039300
14		1		WALKING          		0.2719596		-0.021778538		-0.10675637		-0.402639098		-0.053612669		 0.05188410
14		2		WALKINGUPSTAIRS  		0.2624211		-0.020438818		-0.11227969		-0.309396718		 0.307195533		 0.60901788
14		3		WALKINGDOWNSTAIRS		0.2934221		-0.020014141		-0.09283302		 0.017831340		 0.378870492		 0.45157608
14		4		SITTING          		0.2799906		-0.008705655		-0.10040149		-0.976302248		-0.914935704		-0.92277484
14		5		STANDING         		0.2805456		-0.015207813		-0.10381770		-0.973268905		-0.928525725		-0.92227631
14		6		LAYING           		0.2332754		-0.011342465		-0.08683333		-0.917501887		-0.909697041		-0.90033192
15		1		WALKING          		0.2738992		-0.017080974		-0.10762182		-0.327961801		 0.138912924		-0.51893263
15		2		WALKINGUPSTAIRS  		0.2701876		-0.028752386		-0.11695246		-0.026097184		-0.004065360		-0.37971749
15		3		WALKINGDOWNSTAIRS		0.2801989		-0.005630478		-0.11052607		 0.406471051		 0.186532377		-0.28198218
15		4		SITTING          		0.2729034		-0.011718847		-0.11366125		-0.987084356		-0.922407163		-0.94933803
15		5		STANDING         		0.2789158		-0.018351636		-0.10591083		-0.988949247		-0.931900148		-0.95167026
15		6		LAYING           		0.2894757		-0.016629654		-0.11853024		-0.972255552		-0.962759422		-0.92958684
16		1		WALKING          		0.2760236		-0.020428693		-0.10880405		-0.404692524		-0.314569762		-0.15979979
16		2		WALKINGUPSTAIRS  		0.2559861		-0.014365495		-0.12407452		-0.397083832		-0.163732745		-0.12928383
16		3		WALKINGDOWNSTAIRS		0.2955868		-0.018389858		-0.11987371		 0.207251998		-0.146993838		 0.01143539
16		4		SITTING          		0.2807686		-0.010249794		-0.08914040		-0.986825605		-0.951607872		-0.93967225
16		5		STANDING         		0.2834974		-0.016599967		-0.10365773		-0.989076812		-0.960298268		-0.95346896
16		6		LAYING           		0.2742272		-0.016610351		-0.10731049		-0.973691429		-0.943061150		-0.96549028
17		1		WALKING          		0.2723419		-0.018487540		-0.10979212		-0.319500173		-0.017579789		-0.26582449
17		2		WALKINGUPSTAIRS  		0.2526048		-0.022864561		-0.12129044		-0.062952754		-0.013172101		-0.23022095
17		3		WALKINGDOWNSTAIRS		0.2939183		-0.016735940		-0.08924327		 0.187719760		-0.060789204		-0.23106416
17		4		SITTING          		0.2773570		-0.014156274		-0.11362409		-0.994443905		-0.961858630		-0.96572920
17		5		STANDING         		0.2779425		-0.017412006		-0.11143215		-0.991163920		-0.968176664		-0.97046268
17		6		LAYING           		0.2697801		-0.016846201		-0.10700628		-0.972960567		-0.944792875		-0.95347670
18		1		WALKING          		0.2738878		-0.017802363		-0.10421832		-0.376005521		-0.227005875		-0.42834806
18		2		WALKINGUPSTAIRS  		0.2654012		-0.022206068		-0.11265589		-0.380168287		-0.211155120		-0.31437339
18		3		WALKINGDOWNSTAIRS		0.2884395		-0.016866692		-0.10339081		-0.302634565		-0.254214046		-0.41861013
18		4		SITTING          		0.2772700		-0.012869128		-0.11190478		-0.994347989		-0.974928131		-0.97757272
18		5		STANDING         		0.2784588		-0.016635352		-0.10845336		-0.992019763		-0.954223436		-0.96187391
18		6		LAYING           		0.2746916		-0.017393768		-0.10769893		-0.984527649		-0.986160921		-0.98765866
19		1		WALKING          		0.2739312		-0.019177359		-0.12273667		-0.048904941		 0.181801561		-0.13947794
19		2		WALKINGUPSTAIRS  		0.2421188		-0.030398662		-0.15105461		-0.128742095		 0.176349923		-0.19046855
19		3		WALKINGDOWNSTAIRS		0.2626881		-0.014594228		-0.13369524		 0.626917071		 0.514816446		 0.04932245
19		4		SITTING          		0.2738303		-0.016739260		-0.10870765		-0.976357663		-0.950388944		-0.95192962
19		5		STANDING         		0.2781723		-0.015424406		-0.10904190		-0.989910997		-0.944430271		-0.95259965
19		6		LAYING           		0.2726537		-0.017142686		-0.10898146		-0.965019580		-0.973449969		-0.98467284
20		1		WALKING          		0.2725893		-0.021199992		-0.11353948		-0.208342792		 0.489771809		-0.22873422
20		2		WALKINGUPSTAIRS  		0.2520983		-0.028225805		-0.12102395		-0.116088676		 0.152196328		-0.22924946
20		3		WALKINGDOWNSTAIRS		0.2961444		-0.009641208		-0.10460293		 0.074509879		 0.616937015		-0.16093854
20		4		SITTING          		0.2780454		-0.014722931		-0.10836963		-0.983081859		-0.936122705		-0.92910640
20		5		STANDING         		0.2780769		-0.018069505		-0.10040276		-0.967209961		-0.875410411		-0.91314248
20		6		LAYING           		0.2395079		-0.014440628		-0.10427432		-0.962249115		-0.964098180		-0.97257200
21		1		WALKING          		0.2791835		-0.018161032		-0.10431933		-0.297814844		 0.054088051		-0.16868873
21		2		WALKINGUPSTAIRS  		0.2651945		-0.023721870		-0.12541427		-0.240808282		 0.109787469		-0.21970793
21		3		WALKINGDOWNSTAIRS		0.3014610		-0.017319539		-0.09816866		 0.224343492		 0.301336400		-0.07178936
21		4		SITTING          		0.2775396		-0.014400971		-0.11205789		-0.991777287		-0.966877561		-0.95956786
21		5		STANDING         		0.2769522		-0.016708473		-0.11041786		-0.981419961		-0.943601625		-0.94612341
21		6		LAYING           		0.2713255		-0.018423305		-0.10325383		-0.955019866		-0.956959422		-0.94565379
22		1		WALKING          		0.2788646		-0.016721361		-0.10711251		-0.008659219		 0.100384246		-0.21335197
22		2		WALKINGUPSTAIRS  		0.2483915		-0.026862256		-0.11755086		 0.083573864		 0.250067524		-0.10961322
22		3		WALKINGDOWNSTAIRS		0.2844590		-0.019799937		-0.10741578		 0.348618168		 0.239812251		-0.32572272
22		4		SITTING          		0.2735838		-0.012346845		-0.10582737		-0.978466824		-0.928059134		-0.91756485
22		5		STANDING         		0.2790539		-0.015856321		-0.10496742		-0.985000527		-0.922693288		-0.94220166
22		6		LAYING           		0.2799597		-0.014262986		-0.11080092		-0.947735252		-0.913276302		-0.94294581
23		1		WALKING          		0.2732119		-0.018361871		-0.11338299		-0.313521773		-0.119020587		 0.16422069
23		2		WALKINGUPSTAIRS  		0.2499952		-0.032384403		-0.12689062		-0.243887819		 0.044843579		 0.10080119
23		3		WALKINGDOWNSTAIRS		0.2898974		-0.016211146		-0.09881237		 0.044139284		 0.108259034		 0.22989874
23		4		SITTING          		0.2733513		-0.013394502		-0.10380868		-0.987607637		-0.934933559		-0.90558439
23		5		STANDING         		0.2778993		-0.017747555		-0.11059702		-0.985421520		-0.958444493		-0.92940975
23		6		LAYING           		0.2740380		-0.021655384		-0.10425678		-0.956756363		-0.976309827		-0.97322350
24		1		WALKING          		0.2769808		-0.022544640		-0.11059595		-0.470762366		-0.154127498		-0.28884002
24		2		WALKINGUPSTAIRS  		0.2698811		-0.025197943		-0.11424861		-0.344399351		-0.116804489		-0.25560101
24		3		WALKINGDOWNSTAIRS		0.2886312		-0.014573035		-0.10481882		-0.082732481		-0.102607327		-0.20556638
24		4		SITTING          		0.2734757		-0.013125510		-0.10304106		-0.990593767		-0.956255962		-0.95705611
24		5		STANDING         		0.2803489		-0.014478534		-0.10822255		-0.987255871		-0.936871974		-0.93028353
24		6		LAYING           		0.2728505		-0.017355521		-0.10723624		-0.967984021		-0.983126462		-0.97356696
25		1		WALKING          		0.2789928		-0.018647762		-0.10873764		-0.596007444		-0.161852412		-0.43713340
25		2		WALKINGUPSTAIRS  		0.2779954		-0.026986352		-0.12621044		-0.459775646		-0.223086809		-0.29652398
25		3		WALKINGDOWNSTAIRS		0.2913297		-0.021017052		-0.10719238		-0.253756934		-0.140540604		-0.45797238
25		4		SITTING          		0.2785415		-0.014769681		-0.10916044		-0.991892829		-0.947457617		-0.96513955
25		5		STANDING         		0.2780137		-0.016356973		-0.10735296		-0.991970127		-0.954569226		-0.96464269
25		6		LAYING           		0.2507918		-0.018894366		-0.10042883		-0.909116474		-0.691770681		-0.71726200
26		1		WALKING          		0.2792644		-0.015425959		-0.10892701		-0.340185528		-0.136351392		-0.33348650
26		2		WALKINGUPSTAIRS  		0.2726914		-0.028163380		-0.12194346		-0.169006952		-0.049172630		-0.40459694
26		3		WALKINGDOWNSTAIRS		0.2792846		-0.012625810		-0.10643962		 0.173953850		-0.011629910		-0.28480768
26		4		SITTING          		0.2582435		-0.007133645		-0.09744487		-0.979768988		-0.940798966		-0.95000441
26		5		STANDING         		0.2811270		-0.016660831		-0.11023780		-0.993069369		-0.949466155		-0.96298840
26		6		LAYING           		0.2716459		-0.019189573		-0.10500254		-0.969445445		-0.983231352		-0.98450001
27		1		WALKING          		0.2768495		-0.016647878		-0.11282229		-0.348475561		-0.187301215		-0.29731827
27		2		WALKINGUPSTAIRS  		0.2657703		-0.020095332		-0.12353044		-0.295439547		-0.095010408		-0.23070788
27		3		WALKINGDOWNSTAIRS		0.2975442		-0.013556447		-0.11283769		 0.167407531		-0.097971003		-0.24004078
27		4		SITTING          		0.2739413		-0.015526980		-0.10552191		-0.988580108		-0.971579126		-0.96585874
27		5		STANDING         		0.2795669		-0.016593236		-0.10783582		-0.991951584		-0.955171419		-0.96240844
27		6		LAYING           		0.2741025		-0.017986761		-0.10769973		-0.978455153		-0.983736044		-0.98663700
28		1		WALKING          		0.2812282		-0.015675972		-0.10371471		-0.293003522		-0.117886186		-0.30092840
28		2		WALKINGUPSTAIRS  		0.2620058		-0.027944394		-0.12151403		-0.242062430		-0.146753877		-0.28598691
28		3		WALKINGDOWNSTAIRS		0.2936421		-0.022023047		-0.10858897		 0.125712888		 0.156496647		-0.34103181
28		4		SITTING          		0.2769776		-0.018540444		-0.11151794		-0.983272807		-0.939905245		-0.93666725
28		5		STANDING         		0.2777951		-0.017263512		-0.10657939		-0.977748639		-0.875689217		-0.90512382
28		6		LAYING           		0.2759135		-0.016753786		-0.10834485		-0.968888296		-0.945386780		-0.95645034
29		1		WALKING          		0.2719999		-0.016291560		-0.10663243		-0.174337940		-0.091754061		-0.24282804
29		2		WALKINGUPSTAIRS  		0.2654231		-0.029946531		-0.11800059		-0.086771557		-0.122128288		 0.09954435
29		3		WALKINGDOWNSTAIRS		0.2931404		-0.014941215		-0.09813400		 0.167383602		-0.122463467		-0.22317800
29		4		SITTING          		0.2771800		-0.016630680		-0.11041182		-0.990745020		-0.963222498		-0.96806388
29		5		STANDING         		0.2779651		-0.017260587		-0.10865907		-0.996068635		-0.969295721		-0.98020749
29		6		LAYING           		0.2872952		-0.017196548		-0.10946207		-0.984219556		-0.990240947		-0.98725515
30		1		WALKING          		0.2764068		-0.017588039		-0.09862471		-0.346394275		-0.173550022		-0.12047678
30		2		WALKINGUPSTAIRS  		0.2714156		-0.025331170		-0.12469749		-0.350504475		-0.127311158		 0.02494680
30		3		WALKINGDOWNSTAIRS		0.2831906		-0.017438390		-0.09997814		-0.057770316		-0.027262808		-0.21727569
30		4		SITTING          		0.2683361		-0.008047313		-0.09951545		-0.983622744		-0.937857001		-0.95065404
30		5		STANDING         		0.2771127		-0.017016389		-0.10875621		-0.977559427		-0.891654527		-0.91285060
30		6		LAYING           		0.2810339		-0.019449410		-0.10365815		-0.976362515		-0.954201824		-0.96704424
